subject,stim_name,ensemble,genre,target,mean_pearson
0003,pop_mixtape_duo_GtVx_theme2_stereo_Gt,duo,pop,Gt,0.01195587868165495
0003,pop_mixtape_trio_BsDrVx_theme1_stereo_Vx,trio,pop,Vx,0.03153702660080391
0003,pop_mixtape_trio_GtDrVx_theme1_stereo_Gt,trio,pop,Gt,-0.005648721422321822
0003,pop_mixtape_trio_GtDrVx_theme2_stereo_Dr,trio,pop,Dr,0.044771814570604716
0004,classique_morceau1_duo_CoFl_theme1_stereo_Co,duo,classique,Co,-0.0014332717436665136
0004,classique_morceau1_duo_CoFl_theme1_stereo_Fl,duo,classique,Fl,-0.009999687637342486
0004,classique_morceau1_duo_CoOb_theme1_stereo_Co,duo,classique,Co,0.01918831420075445
0004,classique_morceau1_duo_CoOb_theme2_stereo_Ob,duo,classique,Ob,-0.021407405973194387
0004,classique_morceau1_duo_FlOb_theme1_stereo_Fl,duo,classique,Fl,0.06161731578516163
0004,classique_morceau1_duo_FlOb_theme2_stereo_Ob,duo,classique,Ob,0.011711025285868726
0004,classique_morceau1_trio_CoFlOb_theme1_stereo_Co,trio,classique,Co,0.019901235663754405
0004,classique_morceau1_trio_CoFlOb_theme1_stereo_Ob,trio,classique,Ob,0.012149975943946295
0004,classique_morceau1_trio_CoFlOb_theme2_stereo_Fl,trio,classique,Fl,-0.004778535671354928
0004,classique_morceau2_duo_BoFh_theme1_stereo_Fh,duo,classique,Fh,0.014150833619881112
0004,classique_morceau2_duo_BoFh_theme2_stereo_Bo,duo,classique,Bo,-0.03787886799964683
0004,classique_morceau2_duo_BoFl_theme1_stereo_Fl,duo,classique,Fl,-0.01043097067404089
0004,classique_morceau2_duo_BoFl_theme2_stereo_Bo,duo,classique,Bo,0.005378865112880264
0004,classique_morceau2_duo_FhFl_theme2_stereo_Fh,duo,classique,Fh,0.011989915075182335
0004,classique_morceau2_duo_FhFl_theme2_stereo_Fl,duo,classique,Fl,-0.04300993970566761
0004,classique_morceau2_trio_BoFhFl_theme1_stereo_Bo,trio,classique,Bo,-0.013555340504472525
0004,classique_morceau2_trio_BoFhFl_theme1_stereo_Fh,trio,classique,Fh,-0.017345396416935277
0004,classique_morceau2_trio_BoFhFl_theme2_stereo_Fl,trio,classique,Fl,0.03507477046364191
0004,pop_falldead_duo_BsDr_theme1_stereo_Bs,duo,pop,Bs,0.028137257204110144
0004,pop_falldead_duo_BsDr_theme1_stereo_Dr,duo,pop,Dr,-0.032684894678566195
0004,pop_falldead_duo_GtVx_theme1_stereo_Gt,duo,pop,Gt,0.057483028230021965
0004,pop_falldead_duo_GtVx_theme1_stereo_Vx,duo,pop,Vx,-0.09787055877484548
0004,pop_falldead_trio_BsDrVx_theme1_stereo_Bs,trio,pop,Bs,-0.020876884599783343
0004,pop_falldead_trio_GtDrVx_theme1_stereo_Gt,trio,pop,Gt,0.018005216108889135
0004,pop_falldead_trio_GtDrVx_theme1_stereo_Vx,trio,pop,Vx,-0.07344916150852727
0004,pop_mixtape_duo_BsDr_theme1_stereo_Bs,duo,pop,Bs,-0.020445158229164585
0004,pop_mixtape_duo_BsDr_theme2_stereo_Dr,duo,pop,Dr,0.05103543063085419
0004,pop_mixtape_duo_GtVx_theme1_stereo_Gt,duo,pop,Gt,-0.011765314119528988
0004,pop_mixtape_duo_GtVx_theme1_stereo_Vx,duo,pop,Vx,0.07731279033424887
0004,pop_mixtape_trio_BsDrVx_theme2_stereo_Dr,trio,pop,Dr,0.007419905638607323
0004,pop_mixtape_trio_GtDrVx_theme1_stereo_Vx,trio,pop,Vx,0.007226881304441502
0004,pop_mixtape_trio_GtDrVx_theme2_stereo_Dr,trio,pop,Dr,0.0055685448624598595
0005,classique_morceau1_duo_CoFl_theme1_stereo_Fl,duo,classique,Fl,-0.0031904867120508104
